Fecha_de_Publicación,Fecha_Vigencia_Desde,Fecha_Vigencia_Hasta,Número_de_Cuit,Tipo-Contr_Insc,Marca-alta_sujeto,Marca-alícuota,AlícuotaPercepción,Alícuota- Retención,Nro-GrupoPercepción,Nro-GrupoRetención,Razón_Social
26022024,1032024,31032024,30501111127,D,S,N,"0,00","0,10",0,0,HOLCIM  ARGENTINA  SA                                       
26022024,1032024,31032024,30501347937,D,S,N,"1,50","1,50",0,0,CIFIVE SAIYC                                                
26022024,1032024,31032024,30501601213,D,S,N,"0,20","0,50",0,0,SUCESORES DE ALFREDO WILLINER SA                            
26022024,1032024,31032024,30503811061,D,S,N,"0,10","0,10",0,0,BAYER SA                                                    
26022024,1032024,31032024,30504249227,D,S,N,"0,10","0,50",0,0,CARBOCLOR SOCIEDAD ANONIMA                                  
26022024,1032024,31032024,30504726173,D,S,N,"0,50","1,00",0,0,ESTISOL SACIF                                               
26022024,1032024,31032024,30506730038,D,S,N,"0,01","1,50",0,0,S.A. IMPORTADORA Y EXPORTADORA DE LA PATAGONIA              
26022024,1032024,31032024,30567952246,D,S,N,"0,01","0,00",0,0,LITORAL CITRUS SA                                           
26022024,1032024,31032024,30583426406,D,S,N,"0,20","0,50",0,0,PETROQUIMICA CUYO SAIC                                      
26022024,1032024,31032024,30589123286,D,S,N,"0,00","0,10",0,0,TETRA PAK SRL                                               
26022024,1032024,31032024,30601191640,D,S,N,"0,01","0,10",0,0,RIVARA SA                                                   
26022024,1032024,31032024,30620223189,D,S,N,"0,00","0,00",0,0,MALTERIA PAMPA SA                                           
26022024,1032024,31032024,30621238201,D,S,N,"0,10","0,10",0,0,VARTECO QUIMICA PUNTANA SA                                  
26022024,1032024,31032024,30693135679,C,S,N,"0,00","0,00",0,0,ENAV S A                                                    
26022024,1032024,31032024,30707628312,D,S,N,"0,10","0,50",0,0,GRUPO PILAR SA                                              
26022024,1032024,31032024,30707783180,D,S,N,"0,01","0,50",0,0,NOVAPOL SA                                                  
26022024,1032024,31032024,30711970777,D,S,N,"1,00","2,00",0,0,L#CTEOS LA RAMADA S.A.                                      
26022024,1032024,31032024,30715729756,C,S,N,"0,10","1,00",0,0,AKZO NOBEL CHEMICALS ARGENTINA S.A.U.                       
26022024,1032024,31032024,33508358259,D,S,N,"0,10","0,50",0,0,CERVECERIA Y MALTERIA QUILMES SAIC A Y G                    
